Month,SiteID,SiteName,Region,Role,FTE,AnnualSalary,OvertimeHours,OvertimeCost,AbsenceDays,BasePayroll,TotalPayroll
2025-01-01,S001,Preston Care & Education Centre,North,Support Worker,16.7,25000,55.4,887.82,7.3,34791.666666666664,35679.486666666664
2025-01-01,S001,Preston Care & Education Centre,North,Manager,17.7,43000,54.7,1507.76,8.7,63425.0,64932.76
2025-01-01,S001,Preston Care & Education Centre,North,Senior Support Worker,9.3,29000,50.6,940.64,4.9,22475.0,23415.64
2025-01-01,S001,Preston Care & Education Centre,North,Registered Nurse,19.5,41000,87.0,2286.54,8.7,66625.0,68911.54
2025-01-01,S001,Preston Care & Education Centre,North,Administrator,4.1,27000,11.0,190.38,3.8,9224.999999999998,9415.379999999997
2025-01-01,S001,Preston Care & Education Centre,North,Team Leader,10.6,35000,30.7,688.78,7.0,30916.666666666668,31605.446666666667
2025-01-01,S002,Manchester Care & Education Centre,North,Senior Support Worker,13.8,29000,50.2,933.21,6.9,33350.0,34283.21
2025-01-01,S002,Manchester Care & Education Centre,North,Driver,18.3,28000,102.6,1841.54,10.4,42700.0,44541.54
2025-01-01,S002,Manchester Care & Education Centre,North,Registered Nurse,11.1,41000,42.6,1119.62,5.2,37925.0,39044.62
2025-01-01,S002,Manchester Care & Education Centre,North,Administrator,7.8,27000,30.5,527.88,4.2,17550.0,18077.88
2025-01-01,S002,Manchester Care & Education Centre,North,Team Leader,8.8,35000,47.0,1054.49,4.4,25666.666666666668,26721.15666666667
2025-01-01,S003,Leeds Care & Education Centre,North,Administrator,12.7,27000,62.6,1083.46,8.0,28575.0,29658.46
2025-01-01,S003,Leeds Care & Education Centre,North,Senior Support Worker,18.5,29000,84.6,1572.69,9.6,44708.333333333336,46281.02333333334
2025-01-01,S003,Leeds Care & Education Centre,North,Driver,15.0,28000,25.8,463.08,4.9,35000.0,35463.08
2025-01-01,S003,Leeds Care & Education Centre,North,Registered Nurse,13.4,41000,61.4,1613.72,6.6,45783.333333333336,47397.05333333334
2025-01-01,S003,Leeds Care & Education Centre,North,Team Leader,16.8,35000,54.2,1216.03,8.6,49000.0,50216.03
2025-01-01,S004,Newcastle Care & Education Centre,North,Team Leader,8.3,35000,32.4,726.92,5.3,24208.333333333332,24935.25333333333
2025-01-01,S004,Newcastle Care & Education Centre,North,Manager,18.0,43000,74.3,2048.01,8.3,64500.0,66548.01
2025-01-01,S004,Newcastle Care & Education Centre,North,Driver,9.5,28000,52.1,935.13,4.5,22166.666666666668,23101.79666666667
2025-01-01,S004,Newcastle Care & Education Centre,North,Support Worker,5.5,25000,26.3,421.47,2.3,11458.333333333334,11879.803333333333
