Month,SiteID,SiteName,Region,Agency,Role,Hours,HourlyRate,AgencySpend
2025-01-01,S001,Preston Care & Education Centre,North,CareTemps,Registered Nurse,127,42,5334
2025-01-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,80,23,1840
2025-01-01,S001,Preston Care & Education Centre,North,NurseLink,Senior Support Worker,134,28,3752
2025-01-01,S002,Manchester Care & Education Centre,North,NurseLink,Support Worker,107,23,2461
2025-01-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Registered Nurse,47,42,1974
2025-01-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Senior Support Worker,139,28,3892
2025-01-01,S003,Leeds Care & Education Centre,North,CareTemps,Registered Nurse,144,42,6048
2025-01-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Support Worker,120,23,2760
2025-01-01,S003,Leeds Care & Education Centre,North,CareTemps,Senior Support Worker,63,28,1764
2025-01-01,S004,Newcastle Care & Education Centre,North,CareTemps,Registered Nurse,79,42,3318
2025-01-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Senior Support Worker,95,28,2660
2025-01-01,S005,Sheffield Care & Education Centre,North,CareTemps,Senior Support Worker,65,28,1820
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,149,28,4172
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,95,28,2660
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Support Worker,10,23,230
2025-01-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Support Worker,101,23,2323
2025-01-01,S008,Leicester Care & Education Centre,Midlands,CareTemps,Senior Support Worker,77,28,2156
2025-01-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,87,28,2436
2025-01-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,77,42,3234
2025-01-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Support Worker,118,23,2714
2025-01-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,129,28,3612
2025-01-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Support Worker,99,23,2277
2025-01-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Registered Nurse,78,42,3276
2025-01-01,S011,London Care & Education Centre,South,HealthStaffing,Senior Support Worker,88,28,2464
2025-01-01,S011,London Care & Education Centre,South,HealthStaffing,Registered Nurse,90,42,3780
2025-01-01,S011,London Care & Education Centre,South,HealthStaffing,Support Worker,61,23,1403
2025-01-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Support Worker,110,23,2530
2025-01-01,S012,Bristol Care & Education Centre,South,CareTemps,Senior Support Worker,106,28,2968
2025-01-01,S013,Reading Care & Education Centre,South,HealthStaffing,Senior Support Worker,143,28,4004
2025-01-01,S013,Reading Care & Education Centre,South,CareTemps,Support Worker,133,23,3059
2025-01-01,S014,Southampton Care & Education Centre,South,NurseLink,Support Worker,66,23,1518
2025-01-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Registered Nurse,118,42,4956
2025-01-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Support Worker,56,23,1288
2025-01-01,S015,Brighton Care & Education Centre,South,NurseLink,Senior Support Worker,114,28,3192
