Month,SiteID,SiteName,Region,Revenue,Payroll,Procurement,Fleet,Agency,OtherOpex,BudgetOpex,ActualOpex,EBITDA,EBITDA_Margin
2025-01-01,S001,Preston Care & Education Centre,North,474619.09,233960.25333333333,29957.93,2618.05,10926,35029.32,300615.21,312491.55333333334,162127.53666666668,0.3415950602970198
2025-01-01,S002,Manchester Care & Education Centre,North,322229.82,162668.40666666668,46147.12,2313.88,8327,18848.64,237293.33,238305.0466666667,83924.77333333332,0.26045005187084586
2025-01-01,S003,Leeds Care & Education Centre,North,443270.86,209015.64666666667,56737.509999999995,4026.1400000000003,10572,30594.89,321242.97,310946.1866666667,132324.67333333328,0.2985187732244192
2025-01-01,S004,Newcastle Care & Education Centre,North,225588.97,126464.86333333333,19671.36,2389.81,5978,17476.53,168715.6,171980.56333333332,53608.40666666668,0.23763753461291426
2025-01-01,S005,Sheffield Care & Education Centre,North,480577.57,198889.36333333334,114638.35999999999,2136.15,1820,37508.21,356469.83,354992.0833333334,125585.48666666663,0.2613219894275686
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,253082.63,105935.06666666667,39216.380000000005,2082.71,4172,18193.51,172312.36,169599.66666666666,83482.96333333335,0.32986445309713014
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,459390.76,194379.62333333332,80306.32,2365.0699999999997,2890,34864.61,316673.53,314805.62333333335,144585.13666666666,0.3147323569735418
2025-01-01,S008,Leicester Care & Education Centre,Midlands,408256.15,187881.80000000002,70155.56999999999,3437.69,4479,30631.99,301514.81,296586.05,111670.10000000003,0.2735294985758329
2025-01-01,S009,Derby Care & Education Centre,Midlands,257222.08,107740.25666666665,46215.75,5176.84,8384,15475.41,179413.25,182992.25666666665,74229.82333333333,0.28858262608456214
2025-01-01,S010,Coventry Care & Education Centre,Midlands,336788.75,171773.5133333333,23581.270000000004,4097.030000000001,9165,18906.29,229154.82,227523.10333333333,109265.64666666667,0.3244337783452288
2025-01-01,S011,London Care & Education Centre,South,275996.19,107439.79999999999,49352.19,5448.97,7647,20130.61,189971.53,190018.57,85977.62,0.3115174162367966
2025-01-01,S012,Bristol Care & Education Centre,South,323384.21,148083.26666666666,34609.060000000005,2439.87,5498,25385.59,216520.19,216015.78666666665,107368.42333333337,0.3320150459211764
2025-01-01,S013,Reading Care & Education Centre,South,304742.86,124718.59999999999,55216.89,5503.599999999999,7063,18805.81,203956.39,211307.9,93434.95999999999,0.3066026222894935
2025-01-01,S014,Southampton Care & Education Centre,South,305780.56,125991.85999999999,57625.21000000001,4045.84,6474,20845.22,208451.45,214982.13,90798.43,0.2969398381636818
2025-01-01,S015,Brighton Care & Education Centre,South,360398.87,158653.90666666668,65459.24,2145.48,4480,26341.41,262219.72,257080.03666666668,103318.83333333331,0.28667912675012913
2025-01-01,S016,Cardiff Care & Education Centre,Wales,291973.08,120008.08000000002,72383.82999999999,3580.6500000000005,1633,24012.53,229693.0,221618.09,70354.99000000002,0.24096396147206453
2025-01-01,S017,Swansea Care & Education Centre,Wales,201201.32,82462.04666666666,46251.9,5071.360000000001,1242,13993.28,154415.68,149020.58666666664,52180.733333333366,0.259345879705627
2025-01-01,S018,Newport Care & Education Centre,Wales,284831.13,139224.43,35418.92,3243.53,2277,20545.02,196666.49,200708.89999999997,84122.23000000004,0.2953407164448634
2025-01-01,S019,Wrexham Care & Education Centre,Wales,559247.42,151573.78333333333,179125.03999999998,3030.36,280,43546.28,375649.37,377555.46333333326,181691.95666666678,0.32488653531323713
2025-01-01,S020,Bangor Care & Education Centre,Wales,290662.91,177234.66999999998,5931.72,5584.87,4130,21993.45,215139.23,214874.71,75788.19999999998,0.26074259010205325
2025-02-01,S001,Preston Care & Education Centre,North,351203.43,155986.9833333333,50576.98,4832.000000000001,6802,22362.24,241877.75,240560.2033333333,110643.22666666668,0.3150402792668246
2025-02-01,S002,Manchester Care & Education Centre,North,359737.03,178414.94333333336,58187.329999999994,4629.98,1708,26374.62,275929.54,269314.87333333335,90422.15666666668,0.25135626617773177
2025-02-01,S003,Leeds Care & Education Centre,North,337699.18,132360.12,87404.68,2855.6,7406,26906.65,252084.49,256933.05,80766.13,0.23916590499272164
2025-02-01,S004,Newcastle Care & Education Centre,North,397540.99,188115.5766666667,33281.509999999995,3648.79,10391,31979.65,277166.63,267416.5266666667,130124.46333333332,0.32732338703823555
2025-02-01,S005,Sheffield Care & Education Centre,North,285523.55,143334.73666666666,39452.87,3768.39,5369,17539.79,201940.49,209464.78666666668,76058.7633333333,0.2663835026334371
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,395483.58,193280.96666666665,50791.67,3511.7,3612,32478.02,291486.77,283674.3566666667,111809.22333333333,0.28271520990412125
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,363859.27,170371.29,61831.81000000001,2024.09,11867,24495.83,277972.31,270590.02,93269.25,0.25633330710524427
2025-02-01,S008,Leicester Care & Education Centre,Midlands,344400.33,182556.53666666668,22552.03,3069.0499999999997,3318,25753.54,239732.2,237249.15666666668,107151.17333333334,0.3111238985553043
2025-02-01,S009,Derby Care & Education Centre,Midlands,462655.1,223542.49666666667,50717.33,4125.709999999999,5745,29047.68,321937.67,313178.2166666667,149476.8833333333,0.32308491429864994
2025-02-01,S010,Coventry Care & Education Centre,Midlands,288783.43,93107.50333333333,69749.06,4422.75,3243,20611.18,198369.65,191133.49333333332,97649.93666666668,0.3381424504399947
2025-02-01,S011,London Care & Education Centre,South,260889.87,140156.02000000002,30810.93,2458.3,3738,17239.94,197541.9,194403.19,66486.68,0.2548457707461006
2025-02-01,S012,Bristol Care & Education Centre,South,373620.11,108861.21666666666,110044.66,2223.44,10056,26298.62,257575.74,257483.93666666665,116136.17333333334,0.3108402632110283
