SiteID,SiteName,Region,Town
S001,Preston Care & Education Centre,North,Preston
S002,Manchester Care & Education Centre,North,Manchester
S003,Leeds Care & Education Centre,North,Leeds
S004,Newcastle Care & Education Centre,North,Newcastle
S005,Sheffield Care & Education Centre,North,Sheffield
S006,Birmingham Care & Education Centre,Midlands,Birmingham
S007,Nottingham Care & Education Centre,Midlands,Nottingham
S008,Leicester Care & Education Centre,Midlands,Leicester
S009,Derby Care & Education Centre,Midlands,Derby
S010,Coventry Care & Education Centre,Midlands,Coventry
S011,London Care & Education Centre,South,London
S012,Bristol Care & Education Centre,South,Bristol
S013,Reading Care & Education Centre,South,Reading
S014,Southampton Care & Education Centre,South,Southampton
S015,Brighton Care & Education Centre,South,Brighton
S016,Cardiff Care & Education Centre,Wales,Cardiff
S017,Swansea Care & Education Centre,Wales,Swansea
S018,Newport Care & Education Centre,Wales,Newport
S019,Wrexham Care & Education Centre,Wales,Wrexham
S020,Bangor Care & Education Centre,Wales,Bangor
