InvoiceDate,SiteID,SiteName,Region,Supplier,Category,InvoiceID,Quantity,UnitCost,GrossSpend,PaymentTermsDays,SourceSystem,VAT,NetSpend,Contracted,DataQualityFlag
2025-05-21,S006,Birmingham Care & Education Centre,Midlands,freshserve,Food & Catering,INV-2025-00001,32,85.42,2733.44,30,ERP,546.688,2733.44,Y,OK
2025-10-07,S008,Leicester Care & Education Centre,Midlands,KitchenPro,Food & Catering,INV-2025-00002,12,60.24,722.88,60,Procurement Portal,144.576,722.88,N,OK
2025-04-22,S009,Derby Care & Education Centre,Midlands,MediSure,Medical Supplies,INV-2025-00003,30,171.35,5140.56,60,Legacy Spend File,1028.112,5140.56,Y,OK
2025-11-29,S006,Birmingham Care & Education Centre,Midlands,PowerDirect,Utilities,INV-2025-00004,70,577.74,40441.94,45,ERP,8088.388000000001,40441.94,N,OK
2025-03-23,S016,Cardiff Care & Education Centre,Wales,CloudLink,IT & Telecoms,INV-2025-00005,55,193.42,10637.88,45,Procurement Portal,2127.576,10637.88,Y,OK
2025-02-22,S013,Reading Care & Education Centre,South,WaterGrid,Utilities,INV-2025-00006,12,219.79,2637.51,45,ERP,527.5020000000001,2637.51,N,OK
2025-05-16,S005,Sheffield Care & Education Centre,North,AutoCare,Vehicle & Fuel,INV-2025-00007,6,226.43,1358.59,60,Procurement Portal,271.718,1358.59,N,OK
2025-02-10,S004,Newcastle Care & Education Centre,North,NourishCo,Food & Catering,INV-2025-00008,71,99.13,7038.54,45,Legacy Spend File,1407.708,7038.54,N,OK
2025-04-09,S017,Swansea Care & Education Centre,Wales,AutoCare,Vehicle & Fuel,INV-2025-00009,9,73.38,660.43,30,Legacy Spend File,132.08599999999998,660.43,N,OK
2025-04-30,S015,Brighton Care & Education Centre,South,CloudLink,IT & Telecoms,INV-2025-00010,13,296.5,3854.46,45,Procurement Portal,770.892,3854.46,Y,OK
2025-07-09,S016,Cardiff Care & Education Centre,Wales,FleetFuel,Vehicle & Fuel,INV-2025-00011,46,73.63,3386.79,30,Legacy Spend File,677.3580000000001,3386.79,Y,OK
2025-11-22,S019,Wrexham Care & Education Centre,Wales,KitchenPro,Food & Catering,INV-2025-00012,22,50.31,1106.86,60,Legacy Spend File,221.37199999999999,1106.86,N,OK
2025-07-14,S009,Derby Care & Education Centre,Midlands,SafeGuard FM,Facilities,INV-2025-00013,35,205.62,7196.75,60,Legacy Spend File,1439.3500000000001,7196.75,N,OK
2025-06-16,S014,Southampton Care & Education Centre,South,PowerDirect,Utilities,INV-2025-00014,8,87.28,698.26,30,ERP,139.65200000000002,698.26,N,OK
2025-02-03,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Agency Labour,INV-2025-00015,28,116.17,3252.83,60,Legacy Spend File,650.566,3252.83,N,OK
2025-09-13,S017,Swansea Care & Education Centre,Wales,PowerDirect,Utilities,INV-2025-00016,51,183.5,9358.39,60,Procurement Portal,1871.6779999999999,9358.39,N,OK
2025-05-07,S001,Preston Care & Education Centre,North,CloudLink,IT & Telecoms,INV-2025-00017,72,126.04,9074.62,60,Procurement Portal,1814.9240000000002,9074.62,Y,OK
2025-07-24,S020,Bangor Care & Education Centre,Wales,NurseLink,Agency Labour,INV-2025-00018,47,356.6,16760.26,30,ERP,3352.0519999999997,16760.26,N,OK
2025-01-25,S007,Nottingham Care & Education Centre,Midlands,OfficePlus,Office & Training,INV-2025-00019,15,45.52,682.75,30,Legacy Spend File,136.55,682.75,N,OK
2025-02-02,S018,Newport Care & Education Centre,Wales,NurseLink,Agency Labour,INV-2025-00020,50,137.97,6898.36,45,Legacy Spend File,1379.672,6898.36,N,OK
2025-01-06,S002,Manchester Care & Education Centre,North,NetServe,IT & Telecoms,INV-2025-00021,15,492.62,7389.27,60,Legacy Spend File,1477.8540000000003,7389.27,N,OK
2025-06-24,S019,Wrexham Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-00022,15,194.31,2914.64,45,Procurement Portal,582.928,2914.64,N,OK
2025-05-15,S012,Bristol Care & Education Centre,South,OfficePlus,Office & Training,INV-2025-00023,65,77.84,5059.46,30,Legacy Spend File,1011.892,5059.46,N,OK
