Month,SiteID,SiteName,Region,VehicleID,VehicleType,Miles,FuelLitres,FuelCost,MaintenanceCost,LeaseCost,TotalFleetCost
2025-01-01,S001,Preston Care & Education Centre,North,VH0077,Van,1525,179.4,265.51,145.15,450,860.66
2025-01-01,S001,Preston Care & Education Centre,North,VH0050,Car,872,83.0,122.84,28.9,450,601.74
2025-01-01,S001,Preston Care & Education Centre,North,VH0138,Car,599,57.0,84.36,23.27,380,487.63
2025-01-01,S001,Preston Care & Education Centre,North,VH0063,Car,1116,106.3,157.32,190.7,320,668.02
2025-01-01,S002,Manchester Care & Education Centre,North,VH0118,MPV,654,62.3,92.2,221.6,450,763.8
2025-01-01,S002,Manchester Care & Education Centre,North,VH0032,Minibus,929,109.3,161.76,261.74,380,803.5
2025-01-01,S002,Manchester Care & Education Centre,North,VH0028,Car,1453,138.4,204.83,221.75,320,746.58
2025-01-01,S003,Leeds Care & Education Centre,North,VH0093,Van,982,115.5,170.94,78.7,320,569.64
2025-01-01,S003,Leeds Care & Education Centre,North,VH0054,Van,512,60.2,89.1,92.47,320,501.57
2025-01-01,S003,Leeds Care & Education Centre,North,VH0101,MPV,997,95.0,140.6,71.03,520,731.63
2025-01-01,S003,Leeds Care & Education Centre,North,VH0026,Van,1017,119.6,177.01,156.15,450,783.16
2025-01-01,S003,Leeds Care & Education Centre,North,VH0126,Van,993,116.8,172.86,98.0,380,650.86
2025-01-01,S003,Leeds Care & Education Centre,North,VH0006,MPV,1092,104.0,153.92,185.36,450,789.28
2025-01-01,S004,Newcastle Care & Education Centre,North,VH0046,Minibus,777,91.4,135.27,362.87,450,948.14
2025-01-01,S004,Newcastle Care & Education Centre,North,VH0009,Van,1025,120.6,178.49,151.51,320,650.0
2025-01-01,S004,Newcastle Care & Education Centre,North,VH0031,MPV,1227,116.9,173.01,168.66,450,791.67
2025-01-01,S005,Sheffield Care & Education Centre,North,VH0050,Car,1288,122.7,181.6,172.97,380,734.5699999999999
2025-01-01,S005,Sheffield Care & Education Centre,North,VH0008,MPV,896,85.3,126.24,178.92,450,755.16
2025-01-01,S005,Sheffield Care & Education Centre,North,VH0138,Car,764,72.8,107.74,158.68,380,646.4200000000001
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,VH0084,Car,1041,99.1,146.67,133.35,380,660.02
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,VH0036,Minibus,1017,119.6,177.01,99.45,450,726.46
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,VH0057,Van,912,107.3,158.8,157.43,380,696.23
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,VH0090,Van,1089,128.1,189.59,67.79,520,777.38
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,VH0076,Van,1366,160.7,237.84,80.71,380,698.55
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,VH0120,Minibus,1292,152.0,224.96,284.18,380,889.14
2025-01-01,S008,Leicester Care & Education Centre,Midlands,VH0072,MPV,888,84.6,125.21,292.02,380,797.23
2025-01-01,S008,Leicester Care & Education Centre,Midlands,VH0101,Van,751,88.4,130.83,223.53,520,874.36
2025-01-01,S008,Leicester Care & Education Centre,Midlands,VH0027,Van,1300,152.9,226.29,96.35,520,842.64
2025-01-01,S008,Leicester Care & Education Centre,Midlands,VH0080,Minibus,1398,164.5,243.46,230.0,450,923.46
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0028,Van,1122,132.0,195.36,170.83,380,746.19
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0099,Car,1016,96.8,143.26,214.86,450,808.12
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0110,Van,1248,146.8,217.26,10.12,450,677.38
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0052,Minibus,1376,161.9,239.61,117.0,520,876.61
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0091,Car,1308,124.6,184.41,240.14,320,744.55
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0096,MPV,777,74.0,109.52,117.13,450,676.65
2025-01-01,S009,Derby Care & Education Centre,Midlands,VH0017,Van,773,90.9,134.53,132.81,380,647.34
2025-01-01,S010,Coventry Care & Education Centre,Midlands,VH0063,Minibus,972,114.4,169.31,312.37,320,801.6800000000001
2025-01-01,S010,Coventry Care & Education Centre,Midlands,VH0019,Car,1377,131.1,194.03,261.65,450,905.68
2025-01-01,S010,Coventry Care & Education Centre,Midlands,VH0056,Car,909,86.6,128.17,133.26,450,711.43
2025-01-01,S010,Coventry Care & Education Centre,Midlands,VH0096,MPV,629,59.9,88.65,85.53,520,694.1800000000001
2025-01-01,S010,Coventry Care & Education Centre,Midlands,VH0038,Minibus,1291,151.9,224.81,379.25,380,984.06
2025-01-01,S011,London Care & Education Centre,South,VH0017,Minibus,741,87.2,129.06,202.6,320,651.66
2025-01-01,S011,London Care & Education Centre,South,VH0099,Van,1043,122.7,181.6,172.41,520,874.01
2025-01-01,S011,London Care & Education Centre,South,VH0073,Minibus,847,99.6,147.41,283.92,450,881.33
2025-01-01,S011,London Care & Education Centre,South,VH0055,MPV,931,88.7,131.28,148.84,380,660.12
2025-01-01,S011,London Care & Education Centre,South,VH0135,Car,1186,113.0,167.24,150.51,520,837.75
2025-01-01,S011,London Care & Education Centre,South,VH0056,Van,940,110.6,163.69,141.23,320,624.92
2025-01-01,S011,London Care & Education Centre,South,VH0027,Minibus,1027,120.8,178.78,220.4,520,919.1800000000001
2025-01-01,S012,Bristol Care & Education Centre,South,VH0032,Minibus,985,115.9,171.53,377.89,520,1069.42
2025-01-01,S012,Bristol Care & Education Centre,South,VH0116,MPV,1190,113.3,167.68,126.36,320,614.04
2025-01-01,S012,Bristol Care & Education Centre,South,VH0044,Minibus,1224,144.0,213.12,223.29,320,756.41
2025-01-01,S013,Reading Care & Education Centre,South,VH0002,Car,1343,127.9,189.29,179.57,450,818.86
2025-01-01,S013,Reading Care & Education Centre,South,VH0119,Car,1023,97.4,144.15,185.82,320,649.97
2025-01-01,S013,Reading Care & Education Centre,South,VH0073,Van,657,77.3,114.4,59.86,320,494.26
