InvoiceDate,SiteID,SiteName,Region,Supplier,Category,InvoiceID,Quantity,UnitCost,GrossSpend,PaymentTermsDays,SourceSystem,VAT,NetSpend,Contracted,DataQualityFlag
2025-09-16,S005,Sheffield Care & Education Centre,North,LearnWell,Office & Training,INV-2025-01201,34,80.35,2731.82,60,Procurement Portal,546.364,2731.82,N,OK
2025-08-09,S007,Nottingham Care & Education Centre,Midlands,MediSure,Medical Supplies,INV-2025-01202,16,94.76,1516.12,45,Procurement Portal,303.224,1516.12,Y,OK
2025-08-24,S017,Swansea Care & Education Centre,Wales,CareTemps,Agency Labour,INV-2025-01203,5,320.87,1604.37,30,ERP,320.874,1604.37,N,OK
2025-03-26,S005,Sheffield Care & Education Centre,North,NetServe,IT & Telecoms,INV-2025-01204,63,296.62,18686.87,45,ERP,3737.374,18686.87,N,OK
2025-02-26,S002,Manchester Care & Education Centre,North,CareTemps,Agency Labour,INV-2025-01205,73,308.17,22496.5,60,Procurement Portal,4499.3,22496.5,N,OK
2025-10-15,S003,Leeds Care & Education Centre,North,LearnWell,Office & Training,INV-2025-01206,21,76.69,1610.56,60,ERP,322.112,1610.56,N,OK
2025-10-30,S005,Sheffield Care & Education Centre,North,TeleCare IT,IT & Telecoms,INV-2025-01207,49,149.54,7327.23,60,Legacy Spend File,1465.446,7327.23,N,OK
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,TeleCare IT,IT & Telecoms,INV-2025-01208,4,152.79,611.14,60,ERP,122.228,611.14,N,OK
2025-10-26,S019,Wrexham Care & Education Centre,Wales,RoadReady,Vehicle & Fuel,INV-2025-01209,4,43.92,175.69,60,Procurement Portal,35.138,175.69,N,OK
2025-06-26,S001,Preston Care & Education Centre,North,NourishCo,Food & Catering,INV-2025-01210,46,170.15,7826.7,45,Procurement Portal,1565.34,7826.7,N,OK
2025-05-01,S014,Southampton Care & Education Centre,South,UK Energy Partners,Utilities,INV-2025-01211,40,126.13,5045.32,60,ERP,1009.064,5045.32,N,OK
2025-02-28,S016,Cardiff Care & Education Centre,Wales,NourishCo,Food & Catering,INV-2025-01212,44,44.4,1953.7,30,ERP,390.74,1953.7,N,OK
2025-08-24,S016,Cardiff Care & Education Centre,Wales,FleetFuel,Vehicle & Fuel,INV-2025-01213,55,63.99,3519.54,60,Legacy Spend File,703.908,3519.54,Y,OK
2025-12-23,S017,Swansea Care & Education Centre,Wales,CloudLink,IT & Telecoms,INV-2025-01214,61,359.9,21954.11,60,ERP,4390.822,21954.11,Y,OK
2025-07-19,S014,Southampton Care & Education Centre,South,NurseLink,Agency Labour,INV-2025-01215,42,255.08,10713.18,60,ERP,2142.636,10713.18,N,OK
2025-12-12,S004,Newcastle Care & Education Centre,North,KitchenPro,Food & Catering,INV-2025-01216,27,129.11,3485.9,45,Procurement Portal,697.1800000000001,3485.9,N,OK
2025-11-11,S010,Coventry Care & Education Centre,Midlands,FleetFuel,Vehicle & Fuel,INV-2025-01217,39,65.59,2558.1,45,Procurement Portal,511.62,2558.1,Y,OK
2025-02-08,S020,Bangor Care & Education Centre,Wales,PrintCo,Office & Training,INV-2025-01218,69,87.44,6033.25,30,Procurement Portal,1206.65,6033.25,N,OK
2025-10-21,S013,Reading Care & Education Centre,South,CareMed,Medical Supplies,INV-2025-01219,52,75.8,3941.41,30,Legacy Spend File,788.282,3941.41,N,OK
2025-10-24,S008,Leicester Care & Education Centre,Midlands,KitchenPro,Food & Catering,INV-2025-01220,13,211.5,2749.48,60,Procurement Portal,549.8960000000001,2749.48,N,OK
2025-09-29,S007,Nottingham Care & Education Centre,Midlands,KitchenPro,Food & Catering,INV-2025-01221,61,33.83,2063.34,45,ERP,412.66800000000006,2063.34,N,OK
2025-06-04,S004,Newcastle Care & Education Centre,North,KitchenPro,Food & Catering,INV-2025-01222,65,77.08,5009.92,45,Procurement Portal,1001.984,5009.92,N,OK
